n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.5854,0.5854,0.5854,0.1750,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.6000
20,0.7437,0.7437,0.7437,0.3000,0.8500,0.1500,1.0000,0.0000,1.0000,20,0.8000
30,0.7658,0.7658,0.7658,0.3250,0.7000,0.3000,1.0000,0.0000,1.0000,20,0.8667
40,0.6646,0.6646,0.6646,0.2250,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9000
50,0.7658,0.7658,0.7658,0.3750,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9200
60,0.7943,0.7943,0.7943,0.4750,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9333
70,0.7658,0.7658,0.7658,0.4250,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9429
80,0.8766,0.8766,0.8766,0.5500,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9500
90,0.7975,0.7975,0.7975,0.3250,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9556
100,0.8639,0.8639,0.8639,0.4750,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9600
110,0.8196,0.8196,0.8196,0.4250,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9636
120,0.8544,0.8544,0.8544,0.5250,0.8500,0.6500,1.0000,0.5000,1.0000,20,0.9667
130,0.8766,0.8766,0.8766,0.5000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9692
140,0.8892,0.8892,0.8892,0.6250,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9714
150,0.8987,0.8987,0.8987,0.6500,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9733
160,0.8924,0.8924,0.8924,0.6750,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9750
170,0.9019,0.9019,0.9019,0.5500,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9765
180,0.9177,0.9177,0.9177,0.6250,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9778
190,0.9114,0.9114,0.9114,0.6000,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9789
200,0.9051,0.9051,0.9051,0.5750,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9800
210,0.9019,0.9019,0.9019,0.5750,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9810
220,0.9114,0.9114,0.9114,0.6750,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9818
230,0.9082,0.9082,0.9082,0.6500,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9826
240,0.9082,0.9082,0.9082,0.6500,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9833
250,0.9082,0.9082,0.9082,0.6500,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9840
260,0.9051,0.9051,0.9051,0.6500,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9846
270,0.9019,0.9019,0.9019,0.6000,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9852
280,0.8987,0.8987,0.8987,0.6000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9857
290,0.8956,0.8956,0.8956,0.6000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9862
300,0.9051,0.9051,0.9051,0.6500,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9867
310,0.8987,0.8987,0.8987,0.6000,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9871
320,0.8924,0.8924,0.8924,0.5750,0.9600,0.4340,1.0000,0.3940,1.0000,500,0.9875
