n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.4000
20,0.8058,0.8058,0.8058,0.4000,0.8000,0.2000,1.0000,0.0000,1.0000,20,0.7000
30,0.8430,0.8430,0.8430,0.4000,0.9000,0.1500,1.0000,0.0500,1.0000,20,0.8000
40,0.9132,0.9132,0.9132,0.7500,0.9000,0.1500,1.0000,0.0500,1.0000,20,0.8500
50,0.9008,0.9008,0.9008,0.7000,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.8800
60,0.8760,0.8760,0.8760,0.6250,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9000
70,0.8595,0.8595,0.8595,0.5000,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9143
80,0.8760,0.8760,0.8760,0.5500,0.7500,0.3500,1.0000,0.1000,1.0000,20,0.9250
90,0.8802,0.8802,0.8802,0.5500,0.8500,0.2500,1.0000,0.1000,1.0000,20,0.9333
100,0.8678,0.8678,0.8678,0.5500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9400
110,0.8347,0.8347,0.8347,0.4750,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9455
120,0.8760,0.8760,0.8760,0.5500,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9500
130,0.8926,0.8926,0.8926,0.6000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9538
140,0.8967,0.8967,0.8967,0.6250,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9571
150,0.8719,0.8719,0.8719,0.5750,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9600
160,0.8926,0.8926,0.8926,0.6250,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9625
170,0.9091,0.9091,0.9091,0.6500,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9647
180,0.8926,0.8926,0.8926,0.6000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9667
190,0.8967,0.8967,0.8967,0.6250,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9684
200,0.9215,0.9215,0.9215,0.7000,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9700
210,0.9298,0.9298,0.9298,0.7250,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9714
220,0.9380,0.9380,0.9380,0.7500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9727
230,0.9215,0.9215,0.9215,0.7000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9739
240,0.9174,0.9174,0.9174,0.7250,0.9000,0.4000,1.0000,0.3000,1.0000,20,0.9750
250,0.9380,0.9380,0.9380,0.7250,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9760
260,0.9298,0.9298,0.9298,0.7500,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9769
270,0.9298,0.9298,0.9298,0.7500,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9778
280,0.9132,0.9132,0.9132,0.7250,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9786
290,0.9421,0.9421,0.9421,0.7750,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9793
300,0.9339,0.9339,0.9339,0.7500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9800
310,0.8802,0.8802,0.8802,0.6000,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9806
320,0.9298,0.9298,0.9298,0.8000,0.9920,0.3740,1.0000,0.3660,1.0000,500,0.9812
